INS_time_ms, INS_Lat, INS_Lon, Nearest_Lat, Nearest_Lon, GT_D2L_m, Frame_no, ODO_D2L_m, Lat_new, Lon_new, GPS_stauts
475605300,47.7337649,10.3470348,47.73375656,10.34703042,0.762965,9027,0.6573,47.7337597,10.34703786,8
475605350,47.7337536,10.3470451,47.73374886,10.34703741,0.765888,9028,0.6636,47.73375203,10.34704492,8
475605400,47.7337423,10.3470553,47.73373346,10.34705138,0.760812,9029,0.6993,47.7337368,10.34705929,8
475605450,47.7337309,10.3470656,47.73372576,10.34705836,0.760352,9030,0.6573,47.7337289,10.3470658,8
475605500,47.7337196,10.3470758,47.73371036,10.34707233,0.760746,9031,0.6783,47.7337136,10.34708,8
475605550,47.7337083,10.3470861,47.73370266,10.34707932,0.762154,9032,0.6825,47.73370592,10.34708704,8
475605600,47.733697,10.3470963,47.73368726,10.34709329,0.752825,9033,0.7203,47.7336907,10.34710144,8
475605650,47.7336856,10.3471066,47.73367956,10.34710028,0.755373,9034,0.714,47.73368297,10.34710836,8
475605700,47.7336743,10.3471168,47.73367187,10.34710726,0.750145,9035,0.7161,47.73367529,10.34711536,8
475605750,47.733663,10.3471271,47.73365647,10.34712123,0.755195,9036,0.6909,47.73365977,10.34712905,8
475605800,47.7336517,10.3471373,47.73364877,10.34712822,0.750086,9037,0.6594,47.73365192,10.34713568,8
475605850,47.7336404,10.3471475,47.73363337,10.34714219,0.750526,9038,0.7035,47.73363673,10.34715015,8
475605900,47.733629,10.3471578,47.73362567,10.34714918,0.743805,9039,0.6636,47.73362884,10.34715669,8
475605950,47.7336177,10.347168,47.73361028,10.34716315,0.737127,9040,0.7014,47.73361363,10.34717109,8
475606000,47.7336064,10.3471782,47.73360258,10.34717014,0.736148,9041,0.7161,47.733606,10.34717824,8
475606050,47.733595,10.3471884,47.73358718,10.34718411,0.729082,9042,0.6888,47.73359047,10.3471919,8
475606100,47.7335837,10.3471987,47.73357949,10.3471911,0.72947,9043,0.6615,47.73358265,10.34719858,8
475606150,47.7335724,10.3472089,47.73356409,10.34720507,0.728723,9044,0.6363,47.73356713,10.34721227,8
475606200,47.7335611,10.3472191,47.73355639,10.34721206,0.723577,9045,0.6573,47.73355953,10.3472195,8
475606250,47.7335497,10.3472294,47.733541,10.34722603,0.717669,9046,0.6699,47.7335442,10.34723361,8
475606300,47.7335384,10.3472396,47.7335333,10.34723302,0.717776,9047,0.7077,47.73353668,10.34724103,8
475606350,47.7335271,10.3472499,47.73351791,10.34724699,0.724252,9048,0.6783,47.73352115,10.34725466,8
475606400,47.7335158,10.3472601,47.73351021,10.34725398,0.715199,9049,0.6909,47.73351351,10.3472618,8
475606450,47.7335044,10.3472704,47.73350251,10.34726097,0.712135,9050,0.6741,47.73350573,10.3472686,8
475606500,47.7334931,10.3472807,47.73348712,10.34727494,0.717367,9051,0.6804,47.73349037,10.34728264,8
475606550,47.7334818,10.3472909,47.73347942,10.34728193,0.711347,9052,0.6846,47.73348269,10.34728968,8
475606600,47.7334705,10.3473012,47.73346403,10.34729591,0.710151,9053,0.7098,47.73346742,10.34730394,8
475606650,47.7334592,10.3473115,47.73345633,10.3473029,0.716212,9054,0.7056,47.7334597,10.34731088,8
475606700,47.7334478,10.3473218,47.73344094,10.34731687,0.709523,9055,0.6867,47.73344422,10.34732464,8
475606750,47.7334365,10.3473321,47.73343324,10.34732386,0.715608,9056,0.6867,47.73343652,10.34733163,8
475606800,47.7334252,10.3473423,47.73341785,10.34733784,0.712961,9057,0.693,47.73342116,10.34734568,8
475606850,47.7334139,10.3473526,47.73341015,10.34734483,0.713974,9058,0.672,47.73341336,10.34735243,8
475606900,47.7334026,10.3473629,47.73339476,10.34735881,0.71669,9059,0.6741,47.73339798,10.34736644,8
475606950,47.7333913,10.3473732,47.73338707,10.34736579,0.718161,9060,0.7119,47.73339047,10.34737384,8
475607000,47.7333799,10.3473835,47.73337168,10.34737977,0.719852,9061,0.7035,47.73337504,10.34738773,8
475607050,47.7333686,10.3473938,47.73336398,10.34738676,0.716766,9062,0.6951,47.7333673,10.34739462,8
475607100,47.7333573,10.3474041,47.73334859,10.34740074,0.718304,9063,0.672,47.7333518,10.34740834,8
475607150,47.733346,10.3474144,47.73334089,10.34740773,0.722827,9064,0.7035,47.73334425,10.34741569,8
475607200,47.7333347,10.3474247,47.7333255,10.34742171,0.725887,9065,0.7056,47.73332887,10.34742969,8
475607250,47.7333234,10.347435,47.73331781,10.3474287,0.727694,9066,0.7098,47.7333212,10.34743673,8
475607300,47.733312,10.3474453,47.73331011,10.34743569,0.72464,9067,0.7182,47.73331354,10.34744382,8
475607350,47.7333007,10.3474555,47.73329473,10.34744967,0.719132,9068,0.7161,47.73329815,10.34745777,8
475607400,47.7332894,10.3474658,47.73328703,10.34745666,0.720317,9069,0.714,47.73329044,10.34746474,8
475607450,47.7332781,10.3474761,47.73327164,10.34747064,0.72181,9070,0.7182,47.73327507,10.34747877,8
475607500,47.7332668,10.3474864,47.73326395,10.34747763,0.725435,9071,0.7182,47.73326738,10.34748576,8
475607550,47.7332555,10.3474967,47.73324856,10.34749161,0.728693,9072,0.7203,47.733252,10.34749976,8
475607600,47.7332441,10.347507,47.73324087,10.34749861,0.723348,9073,0.7518,47.73324446,10.34750712,8
475607650,47.7332328,10.3475173,47.73322548,10.34751259,0.725352,9074,0.7434,47.73322903,10.347521,8
475607700,47.7332215,10.3475276,47.73321778,10.34751958,0.72816,9075,0.7266,47.73322125,10.3475278,8
475607750,47.7332102,10.3475379,47.7332024,10.34753356,0.728476,9076,0.7371,47.73320592,10.3475419,8
475607800,47.7331989,10.3475482,47.7331947,10.34754055,0.731652,9077,0.756,47.73319831,10.3475491,8
475607850,47.7331875,10.3475585,47.73317932,10.34755454,0.731411,9078,0.7518,47.73318291,10.34756305,8
475607900,47.7331762,10.3475688,47.73317161,10.34756154,0.728973,9079,0.7623,47.73317525,10.34757016,8
475607950,47.7331649,10.3475791,47.73315622,10.3475755,0.731384,9080,0.7686,47.73315989,10.3475842,8
475608000,47.7331536,10.3475894,47.73314853,10.34758251,0.734006,9081,0.7665,47.73315219,10.34759118,8
475608050,47.7331423,10.3475998,47.73313316,10.34759654,0.737518,9082,0.7644,47.73313681,10.34760519,8
475608100,47.733131,10.3476101,47.73312547,10.34760355,0.738363,9083,0.7623,47.73312911,10.34761217,8
475608150,47.7331197,10.3476204,47.73311777,10.34761055,0.742524,9084,0.7497,47.73312135,10.34761903,8
475608200,47.7331083,10.3476307,47.73310239,10.34762449,0.740152,9085,0.6027,47.73310527,10.34763131,8
475608250,47.733097,10.3476411,47.73309468,10.34763144,0.751648,9086,0.7371,47.7330982,10.34763978,8
475608300,47.7330857,10.3476514,47.73307924,10.34764531,0.763696,9087,0.7497,47.73308282,10.34765379,8
475608350,47.7330744,10.3476617,47.73307152,10.34765223,0.772606,9088,0.7602,47.73307515,10.34766083,8
475608400,47.7330631,10.347672,47.73305605,10.34766608,0.786479,9089,0.777,47.73305976,10.34767487,8
475608450,47.7330517,10.3476824,47.73304832,10.347673,0.797042,9090,0.7938,47.73305211,10.34768198,8
475608500,47.7330404,10.3476927,47.73303287,10.34768686,0.8084,9091,0.7791,47.73303659,10.34769567,8
475608550,47.7330291,10.347703,47.73302516,10.3476938,0.816315,9092,0.7791,47.73302888,10.34770261,8
475608600,47.7330178,10.3477133,47.73300976,10.34770771,0.826474,9093,0.7812,47.73301349,10.34771655,8
