INS_time_ms, INS_Lat, INS_Lon, Nearest_Lat, Nearest_Lon, GT_D2L_m, Frame_no, ODO_D2L_m, Lat_new, Lon_new, GPS_stauts
475607250, 47.73332340, 10.34743500, 47.73331781, 10.34742870, 0.727694, 9066, 0.709800, 47.73332120, 10.34743673, 8
475607300, 47.73331200, 10.34744530, 47.73331011, 10.34743569, 0.724640, 9067, 0.718200, 47.73331354, 10.34744382, 8
475607350, 47.73330070, 10.34745550, 47.73329473, 10.34744967, 0.719132, 9068, 0.716100, 47.73329815, 10.34745777, 8
475607400, 47.73328940, 10.34746580, 47.73328703, 10.34745666, 0.720317, 9069, 0.714000, 47.73329044, 10.34746474, 8
475607450, 47.73327810, 10.34747610, 47.73327164, 10.34747064, 0.721810, 9070, 0.718200, 47.73327507, 10.34747877, 8
475607500, 47.73326680, 10.34748640, 47.73326395, 10.34747763, 0.725435, 9071, 0.718200, 47.73326738, 10.34748576, 8
475607550, 47.73325550, 10.34749670, 47.73324856, 10.34749161, 0.728693, 9072, 0.720300, 47.73325200, 10.34749976, 8
475607600, 47.73324410, 10.34750700, 47.73324087, 10.34749861, 0.723348, 9073, 0.751800, 47.73324446, 10.34750712, 8
475607650, 47.73323280, 10.34751730, 47.73322548, 10.34751259, 0.725352, 9074, 0.743400, 47.73322903, 10.34752100, 8
475607700, 47.73322150, 10.34752760, 47.73321778, 10.34751958, 0.728160, 9075, 0.726600, 47.73322125, 10.34752780, 8
475607750, 47.73321020, 10.34753790, 47.73320240, 10.34753356, 0.728476, 9076, 0.737100, 47.73320592, 10.34754190, 8
475607800, 47.73319890, 10.34754820, 47.73319470, 10.34754055, 0.731652, 9077, 0.756000, 47.73319831, 10.34754910, 8
475607850, 47.73318750, 10.34755850, 47.73317932, 10.34755454, 0.731411, 9078, 0.751800, 47.73318291, 10.34756305, 8
475607900, 47.73317620, 10.34756880, 47.73317161, 10.34756154, 0.728973, 9079, 0.762300, 47.73317525, 10.34757016, 8
475607950, 47.73316490, 10.34757910, 47.73315622, 10.34757550, 0.731384, 9080, 0.768600, 47.73315989, 10.34758420, 8
475608000, 47.73315360, 10.34758940, 47.73314853, 10.34758251, 0.734006, 9081, 0.766500, 47.73315219, 10.34759118, 8
475608050, 47.73314230, 10.34759980, 47.73313316, 10.34759654, 0.737518, 9082, 0.764400, 47.73313681, 10.34760519, 8
475608100, 47.73313100, 10.34761010, 47.73312547, 10.34760355, 0.738363, 9083, 0.762300, 47.73312911, 10.34761217, 8
475608150, 47.73311970, 10.34762040, 47.73311777, 10.34761055, 0.742524, 9084, 0.749700, 47.73312135, 10.34761903, 8
475608200, 47.73310830, 10.34763070, 47.73310239, 10.34762449, 0.740152, 9085, 0.602700, 47.73310527, 10.34763131, 8
475608250, 47.73309700, 10.34764110, 47.73309468, 10.34763144, 0.751648, 9086, 0.737100, 47.73309820, 10.34763978, 8
475608300, 47.73308570, 10.34765140, 47.73307924, 10.34764531, 0.763696, 9087, 0.749700, 47.73308282, 10.34765379, 8
475608350, 47.73307440, 10.34766170, 47.73307152, 10.34765223, 0.772606, 9088, 0.760200, 47.73307515, 10.34766083, 8
475608400, 47.73306310, 10.34767200, 47.73305605, 10.34766608, 0.786479, 9089, 0.777000, 47.73305976, 10.34767487, 8
475608450, 47.73305170, 10.34768240, 47.73304832, 10.34767300, 0.797042, 9090, 0.793800, 47.73305211, 10.34768198, 8
475608500, 47.73304040, 10.34769270, 47.73303287, 10.34768686, 0.808400, 9091, 0.779100, 47.73303659, 10.34769567, 8
