Time(S), Latitude, Longitude, CM_D2L, New_Lat, New_lon
62.381,47.667202,10.414664,0.464607,47.667236,10.414704
62.481,47.66721,10.41466,0.463104,47.667244,10.414699
62.581,47.667213,10.414656,0.461568,47.667244,10.414699
62.681,47.667221,10.414651,0.460654,47.667252,10.414693
62.781,47.667229,10.414647,0.460885,47.667259,10.414688
62.881,47.667233,10.414642,0.462012,47.667259,10.414688
62.981,47.66724,10.414639,0.463853,47.667267,10.414682
63.081,47.667248,10.414634,0.46627,47.667278,10.414677
63.181,47.667252,10.41463,0.469131,47.667286,10.414671
63.281,47.667259,10.414625,0.472295,47.667294,10.414665
63.381,47.667267,10.414621,0.475624,47.667294,10.414665
63.481,47.667271,10.414617,0.478982,47.667301,10.41466
63.581,47.667278,10.414613,0.482236,47.667309,10.414654
63.681,47.667286,10.414608,0.48525,47.667316,10.414648
63.781,47.66729,10.414603,0.487879,47.667316,10.414648
63.881,47.667297,10.414599,0.489995,47.667324,10.414642
63.981,47.667305,10.414595,0.491462,47.667336,10.414637
64.081,47.667309,10.414591,0.492227,47.667343,10.414631
64.181,47.667316,10.414586,0.492172,47.667351,10.414625
64.281,47.667324,10.414582,0.489508,47.667351,10.414625
64.381,47.667328,10.414577,0.485029,47.667358,10.41462
64.481,47.667336,10.414574,0.479896,47.667366,10.414615
64.581,47.667339,10.414569,0.47527,47.667366,10.414615
64.681,47.667347,10.414565,0.472317,47.667374,10.414609
64.781,47.667355,10.41456,0.471414,47.667385,10.414603
64.881,47.667358,10.414557,0.471298,47.667393,10.414598
64.981,47.667366,10.414552,0.471628,47.6674,10.414593
65.081,47.667374,10.414548,0.472103,47.667408,10.414587
65.181,47.667377,10.414543,0.472412,47.667408,10.414587
65.281,47.667385,10.414539,0.472204,47.667416,10.414581
65.381,47.667393,10.414535,0.469642,47.667423,10.414576
65.481,47.667397,10.414531,0.464021,47.667423,10.414576
65.581,47.667404,10.414526,0.457129,47.667431,10.414571
65.681,47.667412,10.414522,0.450757,47.667442,10.414565
65.781,47.667416,10.414518,0.44669,47.66745,10.414559
65.881,47.667423,10.414514,0.446629,47.667458,10.414554
65.981,47.667431,10.41451,0.448309,47.667458,10.414554
66.081,47.667435,10.414505,0.450053,47.667465,10.414548
66.181,47.667442,10.414501,0.451843,47.667473,10.414543
66.281,47.66745,10.414496,0.453661,47.66748,10.414537
66.381,47.667454,10.414493,0.455484,47.66748,10.414537
66.481,47.667461,10.414488,0.457298,47.667488,10.414532
66.581,47.667469,10.414484,0.459209,47.6675,10.414526
66.681,47.667473,10.414479,0.461226,47.667507,10.41452
66.781,47.66748,10.414475,0.4633,47.667515,10.414515
66.881,47.667488,10.414471,0.465389,47.667515,10.414515
66.981,47.667492,10.414467,0.467449,47.667522,10.41451
67.081,47.6675,10.414463,0.469433,47.66753,10.414504
67.181,47.667507,10.414458,0.471295,47.667538,10.414498
67.281,47.667511,10.414454,0.472921,47.667538,10.414498
67.381,47.667519,10.41445,0.4743,47.667549,10.414493
67.481,47.667522,10.414446,0.475472,47.667557,10.414488
67.581,47.66753,10.414441,0.476481,47.667564,10.414482
67.681,47.667538,10.414437,0.477361,47.667564,10.414482
67.781,47.667542,10.414433,0.478146,47.667572,10.414476
67.881,47.667549,10.414429,0.478877,47.66758,10.414471
67.981,47.667557,10.414425,0.479594,47.667587,10.414465
68.081,47.667561,10.41442,0.480336,47.667587,10.414465
68.181,47.667568,10.414416,0.48113,47.667595,10.41446
68.281,47.667576,10.414412,0.48209,47.667606,10.414454
68.381,47.66758,10.414408,0.483243,47.667614,10.414449
68.481,47.667587,10.414403,0.484388,47.667622,10.414443
68.581,47.667595,10.414399,0.485375,47.667622,10.414443
68.681,47.667599,10.414395,0.486008,47.667629,10.414438
68.781,47.667606,10.414391,0.486201,47.667637,10.414433
68.881,47.667614,10.414387,0.485869,47.667645,10.414427
68.981,47.667618,10.414382,0.484965,47.667645,10.414427
69.081,47.667625,10.414378,0.483713,47.667656,10.414422
69.181,47.667633,10.414374,0.482246,47.667664,10.414416
69.281,47.667637,10.41437,0.480671,47.667671,10.414411
69.381,47.667645,10.414366,0.479085,47.667671,10.414411
69.481,47.667652,10.414361,0.477591,47.667679,10.414406
69.581,47.667656,10.414357,0.476291,47.667686,10.4144
69.681,47.667664,10.414353,0.475284,47.667694,10.414394
69.781,47.667671,10.414349,0.474868,47.667706,10.41439
69.881,47.667675,10.414345,0.475168,47.667706,10.41439
69.981,47.667683,10.414341,0.476059,47.667713,10.414384
70.081,47.66769,10.414336,0.477418,47.667721,10.414378
70.181,47.667694,10.414332,0.479119,47.667721,10.414378
70.281,47.667702,10.414328,0.481012,47.667728,10.414372
70.381,47.667709,10.414324,0.482841,47.667736,10.414368
70.481,47.667713,10.41432,0.484443,47.667744,10.414362
70.581,47.667721,10.414315,0.48568,47.667755,10.414356
70.681,47.667728,10.414311,0.486854,47.667763,10.414351
70.781,47.667732,10.414308,0.488114,47.667763,10.414351
70.881,47.66774,10.414303,0.489424,47.66777,10.414346
70.981,47.667747,10.414299,0.490749,47.667778,10.41434
71.081,47.667751,10.414294,0.49205,47.667778,10.41434
71.181,47.667759,10.41429,0.493294,47.667786,10.414335
71.281,47.667767,10.414287,0.494447,47.667793,10.41433
71.381,47.66777,10.414282,0.495472,47.667805,10.414324
71.481,47.667778,10.414278,0.49633,47.667812,10.414319
71.581,47.667786,10.414274,0.497,47.667812,10.414319
