Time(S), Latitude, Longitude, CM_D2TS
188.655,47.569313,10.18577,50.856556
188.755,47.569313,10.185743,48.836044
188.855,47.569313,10.185716,46.810719
188.955,47.569313,10.185689,44.781567
189.055,47.569313,10.185661,42.749405
189.155,47.569313,10.185634,40.714905
189.255,47.569313,10.185607,37.999584
189.355,47.569313,10.185579,35.9618
189.455,47.569309,10.185552,33.923481
189.555,47.569309,10.185525,31.885113
189.655,47.569309,10.185497,29.847162
189.755,47.569309,10.18547,27.810099
189.855,47.569305,10.185443,25.774433
189.955,47.569305,10.185415,23.740786
190.055,47.569305,10.185389,21.709976
190.155,47.569302,10.185361,19.683138
190.255,47.569302,10.185333,17.661852
190.355,47.569298,10.185307,15.648375
190.455,47.569298,10.185279,13.64609
190.555,47.569294,10.185252,11.660409
190.655,47.569294,10.185225,9.700703
190.755,47.56929,10.185198,7.784854
190.855,47.56929,10.185171,5.951644
190.955,47.569286,10.185144,95.86129
191.055,47.569286,10.185118,93.862183
191.155,47.569283,10.185092,91.871994
191.255,47.569279,10.185065,89.8909
191.355,47.569275,10.18504,87.91877
191.455,47.569275,10.185013,85.955505
191.555,47.569271,10.184987,84.001114
191.655,47.569267,10.184961,82.055435
191.755,47.569263,10.184936,80.11747
191.855,47.56926,10.184911,78.185707
191.955,47.56926,10.184885,76.258797
192.055,47.569256,10.18486,74.335777
192.155,47.569252,10.184834,72.415939
192.255,47.569248,10.18481,70.498657
192.355,47.569244,10.184784,68.583443
192.455,47.569241,10.184759,66.669899
192.555,47.569237,10.184734,64.120598
192.655,47.569233,10.184709,62.209885
192.755,47.569229,10.184684,60.300045
192.855,47.569225,10.184659,58.390926
192.955,47.569221,10.184633,56.482418
193.055,47.569218,10.184608,54.574429
193.155,47.569214,10.184584,52.666904
193.255,47.56921,10.184559,50.7598
193.355,47.569206,10.184534,48.853088
193.455,47.569202,10.184508,46.946766
193.555,47.569199,10.184484,45.040833
193.655,47.569195,10.184459,43.135307
193.755,47.569187,10.184434,41.230232
193.855,47.569183,10.184409,39.325649
193.955,47.56918,10.184383,37.421627
194.055,47.569176,10.184359,35.518253
194.155,47.569172,10.184334,33.615639
194.255,47.569168,10.184309,31.713923
194.355,47.569164,10.184283,29.81328
194.455,47.56916,10.184258,27.913939
194.555,47.569157,10.184234,26.016197
194.655,47.569153,10.184208,24.120445
194.755,47.569149,10.184183,22.227211
194.855,47.569145,10.184158,20.337208
194.955,47.569141,10.184133,18.451445
195.055,47.569138,10.184108,16.571383
195.155,47.569134,10.184082,14.699223
195.255,47.56913,10.184057,12.838435
195.355,47.56913,10.184031,10.994814
195.455,47.569126,10.184007,9.17872
195.555,47.569122,10.183981,7.410433
195.655,47.569118,10.183956,5.734357
195.755,47.569115,10.18393,0
195.855,47.569111,10.183905,0
195.955,47.569111,10.18388,0
196.055,47.569107,10.183854,0
196.155,47.569103,10.183828,0
196.255,47.569103,10.183804,0
196.355,47.569099,10.183778,0
196.455,47.569096,10.183752,0
196.555,47.569096,10.183726,0
196.655,47.569092,10.183701,0
196.755,47.569092,10.183675,0
196.855,47.569088,10.18365,0
196.955,47.569088,10.183624,0
197.055,47.569088,10.183599,0
197.155,47.569084,10.183573,0
197.255,47.569084,10.183547,0
197.355,47.56908,10.183521,0
197.455,47.56908,10.183496,0
197.555,47.56908,10.18347,0
197.655,47.56908,10.183444,0
197.755,47.569077,10.183418,0
197.855,47.569077,10.183393,0
197.955,47.569077,10.183367,0
198.055,47.569077,10.183341,0
198.155,47.569073,10.183315,0
198.255,47.569073,10.18329,0
198.355,47.569073,10.183264,0
198.455,47.569073,10.183238,0
198.555,47.569073,10.183212,0
198.655,47.569073,10.183187,0
198.755,47.569073,10.183161,0
198.855,47.569073,10.183135,0
198.955,47.569073,10.183109,0
199.055,47.569069,10.183083,0
199.155,47.569069,10.183057,0
199.255,47.569069,10.183031,0
199.355,47.569069,10.183005,0
199.455,47.569069,10.18298,0
199.555,47.569069,10.182954,0
199.655,47.569069,10.182928,0
199.755,47.569069,10.182902,0
199.855,47.569069,10.182877,0
199.955,47.569069,10.182851,0
200.055,47.569065,10.182825,0
200.155,47.569065,10.182799,0
200.255,47.569065,10.182774,0
200.355,47.569065,10.182748,0
200.455,47.569065,10.182722,0
200.555,47.569061,10.182696,0
200.655,47.569061,10.182671,0
200.755,47.569061,10.182645,0
200.855,47.569061,10.182619,0
200.955,47.569057,10.182593,0
201.055,47.569057,10.182568,0
201.155,47.569054,10.182542,0
201.255,47.569054,10.182516,0
201.355,47.569054,10.182491,0
201.455,47.56905,10.182466,0
201.555,47.56905,10.182441,0
201.655,47.569046,10.182415,0
